Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Customer_Status_Predicted
11114-PUN,Male,51,No,Punjab,5,9,Deal 5,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.150001525878906,169.0500030517578,0.0,10,122.37000274658203,301.4200134277344,Churned,Competitor,Competitor had better devices,1
11262-HAR,Female,73,Yes,Haryana,5,32,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.0999984741211,95.0999984741211,0.0,0,4.889999866485596,99.98999786376953,Churned,Price,Price too high,1
11264-MAH,Female,27,Yes,Maharashtra,14,17,Deal 5,No,,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-4.0,24.799999237060547,0.0,0,0.0,24.799999237060547,Churned,Dissatisfaction,Product dissatisfaction,1
11272-UTT,Female,65,No,Uttar Pradesh,0,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.8499984741211,256.6000061035156,0.0,0,133.02000427246094,389.6199951171875,Churned,Competitor,Competitor offered more data,1
11290-JAM,Female,70,Yes,Jammu & Kashmir,0,36,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.44999694824219,396.1000061035156,0.0,0,126.44000244140625,522.5399780273438,Churned,Competitor,Competitor made better offer,1
11472-PUN,Female,33,No,Punjab,8,6,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.400001525878906,55.400001525878906,0.0,0,13.010000228881836,68.41000366210938,Churned,Competitor,Competitor had better devices,1
11540-DEL,Male,63,Yes,Delhi,15,15,Deal 2,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.0999984741211,5135.14990234375,0.0,0,2288.429931640625,7423.580078125,Stayed,Others,Others,1
11543-WES,Female,35,Yes,West Bengal,0,7,,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.400001525878906,874.7999877929688,0.0,0,375.4800109863281,1250.280029296875,Churned,Other,Deceased,1
11596-KAR,Female,40,No,Karnataka,15,11,Deal 4,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.20000076293945,571.1500244140625,0.0,80,114.95999908447266,766.1099853515625,Stayed,Others,Others,1
11679-PUN,Female,38,Yes,Punjab,13,35,Deal 4,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.69999694824219,973.25,0.0,0,373.6000061035156,1346.8499755859375,Churned,Attitude,Attitude of support person,1
11713-MAD,Female,22,Yes,Madhya Pradesh,4,5,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.5999984741211,74.5999984741211,0.0,10,22.15999984741211,106.76000213623047,Churned,Competitor,Competitor offered more data,1
11751-TAM,Female,18,No,Tamil Nadu,5,7,Deal 5,No,,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,24.299999237060547,38.45000076293945,0.0,0,0.0,38.45000076293945,Joined,,,1
11751-UTT,Male,39,No,Uttar Pradesh,4,23,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5999984741211,1060.199951171875,0.0,0,452.1000061035156,1512.300048828125,Churned,Competitor,Competitor offered more data,1
11799-TAM,Male,33,No,Tamil Nadu,9,20,,No,,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,45.29999923706055,45.29999923706055,0.0,0,0.0,45.29999923706055,Churned,Competitor,Competitor had better devices,1
11814-GUJ,Female,45,Yes,Gujarat,12,9,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.55000305175781,6281.4501953125,0.0,0,2787.699951171875,9069.150390625,Churned,Competitor,Competitor had better devices,1
11878-RAJ,Male,75,Yes,Rajasthan,15,17,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.80000305175781,1167.800048828125,0.0,0,734.4000244140625,1902.199951171875,Churned,Competitor,Competitor offered more data,1
11882-BIH,Female,74,No,Bihar,14,15,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.94999694824219,378.3999938964844,0.0,0,61.349998474121094,439.75,Churned,Attitude,Attitude of support person,1
11906-MAD,Female,53,No,Madhya Pradesh,2,29,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79.30000305175781,523.1500244140625,0.0,10,134.47000122070312,667.6199951171875,Churned,Competitor,Competitor had better devices,1
11920-HAR,Female,61,Yes,Haryana,10,24,Deal 5,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,63.599998474121094,155.64999389648438,0.0,0,10.920000076293945,166.57000732421875,Churned,Competitor,Competitor offered higher download speeds,1
11939-UTT,Male,65,Yes,Uttar Pradesh,5,5,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,80.44999694824219,583.4500122070312,0.0,0,215.9199981689453,799.3699951171875,Churned,Other,Don't know,1
12016-TAM,Female,57,Yes,Tamil Nadu,0,9,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Mailed Check,20.049999237060547,164.85000610351562,0.0,0,337.5400085449219,502.3900146484375,Churned,Other,Moved,1
12056-WES,Male,27,No,West Bengal,2,20,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.4000015258789,268.45001220703125,0.0,0,94.44000244140625,362.8900146484375,Joined,,,1
